"SiteUrl","Title","LoginName","Email","PrincipalType","Error"
"https://mngenvmcap277944.sharepoint.com/","Everyone except external users","c:0-.f|rolemanager|spo-grid-all-users/e0638338-8190-45d0-b20b-9576d6b94cda","","SecurityGroup",
"https://mngenvmcap277944.sharepoint.com/","Global Administrator","c:0t.c|tenant|580fa506-8fd8-4cc4-9a71-fee01bc91e92","","SecurityGroup",
"https://mngenvmcap277944.sharepoint.com/","System Account","SHAREPOINT\system","","User",
"https://mngenvmcap277944.sharepoint.com/sites/ITTeamSite","User01","i:0#.f|membership|user01@smithm.tech","User01@smithm.tech","User",
"https://mngenvmcap277944.sharepoint.com/sites/ITTeamSite","IT Team Site Members","c:0o.c|federateddirectoryclaimprovider|92b13440-2594-477e-b07e-f75094fed3d8","ITTeamSite@MngEnvMCAP277944.onmicrosoft.com","SecurityGroup",
"https://mngenvmcap277944.sharepoint.com/sites/ITTeamSite","User02","i:0#.f|membership|user02@smithm.tech","User02@smithm.tech","User",
"https://mngenvmcap277944.sharepoint.com/sites/ITTeamSite","IT Team Site Owners","c:0o.c|federateddirectoryclaimprovider|92b13440-2594-477e-b07e-f75094fed3d8_o","ITTeamSite@MngEnvMCAP277944.onmicrosoft.com","SecurityGroup",
"https://mngenvmcap277944.sharepoint.com/sites/ITTeamSite","System Account","SHAREPOINT\system","","User",
"https://mngenvmcap277944.sharepoint.com/sites/PMOSite","PMO Site Members","c:0o.c|federateddirectoryclaimprovider|d57ee1d6-20f7-4b51-ba68-feac1d0505ad","PMOSite@MngEnvMCAP277944.onmicrosoft.com","SecurityGroup",
"https://mngenvmcap277944.sharepoint.com/sites/PMOSite","PMO Site Owners","c:0o.c|federateddirectoryclaimprovider|d57ee1d6-20f7-4b51-ba68-feac1d0505ad_o","PMOSite@MngEnvMCAP277944.onmicrosoft.com","SecurityGroup",
"https://mngenvmcap277944.sharepoint.com/sites/PMOSite","smithm.tech","i:0#.f|membership|admin@smithm.tech","admin@smithm.tech","User",
"https://mngenvmcap277944.sharepoint.com/sites/PMOSite","User02","i:0#.f|membership|user02@smithm.tech","User02@smithm.tech","User",
"https://mngenvmcap277944.sharepoint.com/sites/HR","HR Members","c:0o.c|federateddirectoryclaimprovider|9da7782c-6053-4090-81ff-dcb3f8d7132c","HR@MngEnvMCAP277944.onmicrosoft.com","SecurityGroup",
"https://mngenvmcap277944.sharepoint.com/sites/HR","HR Owners","c:0o.c|federateddirectoryclaimprovider|9da7782c-6053-4090-81ff-dcb3f8d7132c_o","HR@MngEnvMCAP277944.onmicrosoft.com","SecurityGroup",
"https://mngenvmcap277944.sharepoint.com/sites/HR","System Account","SHAREPOINT\system","","User",
"https://mngenvmcap277944.sharepoint.com/sites/allcompany","All Company","smithm.tech","admin@smithm.tech","M365 Owner",
"https://mngenvmcap277944.sharepoint.com/sites/allcompany","All Company","smithm.tech","admin@smithm.tech","M365 Member",
"https://mngenvmcap277944.sharepoint.com/sites/Contoso","Contoso","Microsoft Service Account",,"M365 Owner",
"https://mngenvmcap277944.sharepoint.com/sites/Contoso","Contoso","smithm.tech","admin@smithm.tech","M365 Owner",
"https://mngenvmcap277944.sharepoint.com/sites/Contoso","Contoso","Microsoft Service Account",,"M365 Member",
"https://mngenvmcap277944.sharepoint.com/sites/Contoso","Contoso","smithm.tech","admin@smithm.tech","M365 Member",
"https://mngenvmcap277944.sharepoint.com/sites/Contoso","Contoso","User01","User01@smithm.tech","M365 Member",
"https://mngenvmcap277944.sharepoint.com/sites/Contoso","Contoso","User02","User02@smithm.tech","M365 Member",
"https://mngenvmcap277944.sharepoint.com/sites/HR","HR","User01","User01@smithm.tech","M365 Owner",
"https://mngenvmcap277944.sharepoint.com/sites/HR","HR","User02","User02@smithm.tech","M365 Owner",
"https://mngenvmcap277944.sharepoint.com/sites/HR","HR","User01","User01@smithm.tech","M365 Member",
"https://mngenvmcap277944.sharepoint.com/sites/HR","HR","User02","User02@smithm.tech","M365 Member",
"https://mngenvmcap277944.sharepoint.com/sites/ITTeamSite","IT Team Site","smithm.tech","admin@smithm.tech","M365 Owner",
"https://mngenvmcap277944.sharepoint.com/sites/ITTeamSite","IT Team Site","smithm.tech","admin@smithm.tech","M365 Member",
"https://mngenvmcap277944.sharepoint.com/sites/ITTeamSite","IT Team Site","User01","User01@smithm.tech","M365 Member",
"https://mngenvmcap277944.sharepoint.com/sites/PMOSite","PMO Site","User01","User01@smithm.tech","M365 Owner",
"https://mngenvmcap277944.sharepoint.com/sites/PMOSite","PMO Site","smithm.tech","admin@smithm.tech","M365 Member",
"https://mngenvmcap277944.sharepoint.com/sites/PMOSite","PMO Site","User01","User01@smithm.tech","M365 Member",
"https://mngenvmcap277944.sharepoint.com/sites/PMOSite","PMO Site","User02","User02@smithm.tech","M365 Member",
